B7C9DCAB34E81EAC3171,C, Bersedia Menerima, Belum Bersertifikat, PLN, 900, Tidak Ada, Negeri, SMP, Pemerintah Pusat
8B7F0ABCBD8743DEFDA4,:, Bersedia Menerima, Belum Bersertifikat, PLN, 900, Telkomsel Flash, Swasta, SMP, Yayasan
A351D106C9B78687680F,A, Bersedia Menerima, Belum Bersertifikat, PLN, 3500, Telkom Speedy, Negeri, SMA, Pemerintah Pusat
EB6AF652B007ED1CFA14,B, Bersedia Menerima, Belum Bersertifikat, PLN, 1500, Tidak Ada, Negeri, SMK, Pemerintah Pusat
6745A6C5A940B42F8809,B, Bersedia Menerima, Belum Bersertifikat, PLN & Diesel, 7600, Telkomsel Flash, Negeri, SMK, Pemerintah Daerah
DD43AD3B1D7E48A7DEA9,C, Bersedia Menerima, Belum Bersertifikat, PLN, 900, Telkomsel Flash, Negeri, SD, Pemerintah Pusat
AE24933C3C632E30FF6B,A, Bersedia Menerima, Belum Bersertifikat, PLN, 450, XL (Serat Optik), Negeri, SD, Pemerintah Daerah
ABB8703200DDEE505467,B, Bersedia Menerima, Belum Bersertifikat, PLN, 900, Tidak Ada, Negeri, SD, Pemerintah Daerah
B8C147B139EAB3E71C85,B, Bersedia Menerima, Belum Bersertifikat, PLN, 450, Telkomsel Flash, Negeri, SD, Pemerintah Daerah
6F460A29F022E701A848,B, Bersedia Menerima, Belum Bersertifikat, PLN & Diesel, 900, Tidak Ada, Negeri, SD, Pemerintah Pusat
3C173D7EDB2344B4947F,B, Bersedia Menerima, Belum Bersertifikat, Diesel, 900, Tidak Ada, Negeri, SD, Pemerintah Daerah
5B8155AA8399B881C2F9,B, Bersedia Menerima, Belum Bersertifikat, Tidak Ada, 1200, Tidak Ada, Negeri, SD, Pemerintah Daerah
B2793D31395D840757E0,B, Bersedia Menerima, Belum Bersertifikat, Tenaga Surya, 500, Tidak Ada, Negeri, SD, Pemerintah Daerah
DDF63FEC7EB42B23A104,C, Bersedia Menerima, Belum Bersertifikat, Diesel, 220, Tidak Ada, Negeri, SD, Pemerintah Pusat
09DA3ABC17938973D40E,C, Bersedia Menerima, Belum Bersertifikat, Tidak Ada, 0, Tidak Ada, Negeri, SD, Pemerintah Daerah
